run_id,timestamp,exit_code,warmup_steps,batch_size,num_diffusion_steps,amp,num_steps,device,env_id,seed,success_rate,return_min,return_mean,return_max,final_loss,duration_sec
0,2026-05-04T23:47:53,0,100,16,5,True,300,cuda,PickCube-v1,0,0.8095238095238095,-109.645751953125,-15.810933113098145,-0.5125167965888977,0.8377877473831177,4.8
1,2026-05-04T23:47:57,0,200,8,10,False,300,cuda,PickCube-v1,0,0.925,-133.7835235595703,-10.042593002319336,-0.20495057106018066,0.8856775760650635,3.8
2,2026-05-04T23:48:01,0,150,16,20,True,300,cuda,PickCube-v1,0,0.8709677419354839,-141.61471557617188,-13.145256042480469,-0.5125167965888977,0.4355933368206024,4.3
